prey_trajectory,pred_trajectory,times
36.2531675797825,1.97256973729448,1
107.9245717025,1.46823302035921,2
208.018960909632,2.63381667247069,3
497.65538621227,48.5067903119168,4
52.6636742729455,458.034953133325,5
2.91406678627534,242.974243137967,6
1.80276858309079,88.2642699770319,7
2.12770024718763,37.886804996403,8
3.13671579475286,17.5275787434418,9
6.9299173274747,8.22597248988541,10
18.1254840918626,3.39647302386502,11
45.9498372167517,1.84736419806241,12
116.804591372408,1.39770273789909,13
252.601163665501,3.10742293295411,14
461.914400833825,70.1655241989133,15
48.1282364030519,538.596800829981,16
2.48740853353135,203.35311733656,17
1.46731254355236,112.760341344532,18
2.05221214649625,34.6406259621002,19
3.23808203064952,19.0560337114084,20
8.08375363279473,7.66488391101339,21
