"","times","prey","pred"
"1",25,1375,53
"2",26,1655,35
"3",27,1585,53
"4",28,1699,18
"5",29,1891,79
"6",30,1979,105
"7",31,1769,70
"8",32,1611,149
"9",33,1532,228
"10",34,1488,219
"11",35,1340,280
"12",36,1016,420
"13",37,919,429
"14",38,788,455
"15",39,771,324
"16",40,911,394
"17",41,1077,289
"18",42,1156,210
"19",43,1410,254
"20",44,1147,158
"21",45,1051,88
"22",46,1226,61
"23",47,1550,114
"24",48,1655,96
"25",49,1795,105
"26",50,1585,158
"27",51,1462,263
"28",52,1506,324
"29",53,1541,298
"30",54,1348,280
"31",55,1226,394
"32",56,1173,263
"33",57,1068,464
"34",58,1112,438
"35",59,1103,508
"36",60,1086,447
"37",61,911,508
"38",62,735,385
"39",63,735,114
